id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp
case_000	17	32	9.103231841883918	0.28447599505887244	1	18
case_001	18	32	10.132033306736705	0.31662604083552204	1	4
case_002	19	32	12.484320662401355	0.39013502070004236	1	3
case_003	19	32	6.58313991038268	0.20572312219945876	1	1
case_004	15	32	24.70630912994945	0.7720721603109203	1	16
case_005	14	32	3.839985744560085	0.11999955451750266	1	28
case_006	18	32	12.43124532525173	0.38847641641411657	1	7
case_007	14	32	12.447408165150048	0.388981505160939	1	10
case_008	20	32	10.536259821174873	0.3292581194117148	0	0
case_009	17	32	14.733297941914913	0.460415560684841	0	0
case_010	26	32	5.450267552696104	0.17032086102175326	1	23
case_011	21	32	12.771111683780713	0.3990972401181473	1	1
case_012	22	32	1.4772226225569582	0.046163206954904945	1	32
case_013	22	32	4.725602477249794	0.14767507741405606	1	17
case_014	21	32	1.4690004805131167	0.0459062650160349	1	28
case_015	22	32	7.839664660976396	0.24498952065551238	1	16
case_016	19	32	8.079560844920259	0.2524862764037581	1	6
case_017	26	32	7.742003820760818	0.24193761939877556	1	7
case_018	25	32	2.19995844518445	0.06874870141201406	1	30
case_019	19	32	5.143301714541668	0.16072817857942712	1	18
case_020	18	32	13.972697140939061	0.43664678565434567	1	23
case_021	18	32	2.6451513538764218	0.08266097980863818	0	0
case_022	16	32	7.199306075046387	0.2249783148451996	1	10
case_023	14	32	10.589862476350426	0.3309332023859508	1	14
case_024	15	32	24.108374861189915	0.7533867144121849	1	15
case_025	20	32	6.7333755649709985	0.2104179864053437	1	12
case_026	17	32	10.2862705481175	0.32144595462867187	1	4
case_027	14	32	20.587322360974945	0.643353823780467	1	15
case_028	16	32	7.248171261775273	0.22650535193047727	1	15
case_029	18	32	13.360208710427937	0.41750652220087303	1	7
case_030	23	32	6.220280091471572	0.19438375285848664	1	11
case_031	22	32	9.550021225867624	0.29843816330836326	1	4
case_032	18	32	2.002332044885719	0.06257287640267872	1	30
case_033	15	32	0.8126566917078613	0.025395521615870664	1	32
case_034	22	32	9.356892009327854	0.29240287529149545	1	14
case_035	23	32	4.78889153940343	0.14965286060635719	1	18
case_036	21	32	1.660425908851174	0.051888309651599185	1	32
case_037	18	32	6.237866379720224	0.194933324366257	1	12
case_038	26	32	1.743314504879855	0.05447857827749547	1	20
case_039	23	32	5.7480880006042305	0.1796277500188822	1	18
case_040	21	32	8.100244741606616	0.25313264817520675	0	0
case_041	15	32	11.293742635442673	0.3529294573575835	1	16
case_042	14	32	12.501014266839483	0.39065669583873386	1	8
case_043	18	32	1.829887238655509	0.057183976207984655	0	0
case_044	20	32	13.413566869623434	0.4191739646757323	1	4
case_045	18	32	16.23973939148668	0.5074918559839587	1	15
case_046	19	32	2.386806695345946	0.07458770922956082	1	32
case_047	16	32	12.008919400147438	0.3752787312546074	1	9
case_048	18	32	9.151856273751502	0.28599550855473443	1	1
case_049	18	32	11.498569255819593	0.3593302892443623	1	13
case_050	27	32	7.34237461388113	0.22944920668378532	1	1
case_051	21	32	7.727803303409203	0.2414938532315376	1	18
case_052	19	32	3.3901359827978155	0.10594174946243173	1	27
case_053	22	32	5.5713003720578165	0.17410313662680676	0	0
case_054	24	32	2.019145045864555	0.06309828268326734	1	26
case_055	25	32	3.4217999692290704	0.10693124903840845	1	19
case_056	18	32	4.087204877799969	0.12772515243124904	1	13
case_057	22	32	7.024430400551683	0.2195134500172401	1	20
case_058	25	32	1.5427911657386986	0.04821222392933433	1	11
case_059	23	32	10.185709462373985	0.31830342069918705	0	0
case_060	17	32	1.7061701855444866	0.05331781829826521	0	0
case_061	16	32	9.067075489505335	0.2833461090470417	1	10
case_062	14	32	7.08381765608609	0.22136930175269032	1	12
case_063	15	32	7.033275128494555	0.21978984776545485	1	13
case_064	12	32	11.433217935690735	0.35728806049033546	1	9
case_065	15	32	2.715286470776242	0.08485270221175756	1	1
case_066	16	32	15.535249289625071	0.48547654030078347	1	13
case_067	17	32	11.463913534656374	0.3582472979580117	1	20
case_068	17	32	9.332122656613972	0.29162883301918663	1	14
case_069	18	32	12.736974760640084	0.39803046127000263	1	9
case_070	24	32	5.374141286836611	0.1679419152136441	1	3
case_071	24	32	4.626824157687299	0.1445882549277281	1	22
case_072	17	32	3.3842274573564097	0.1057571080423878	1	9
case_073	15	32	1.629729058808124	0.05092903308775387	1	18
case_074	15	32	2.943661267188048	0.0919894145996265	1	21
case_075	16	32	4.256024125759893	0.13300075392999666	1	21
case_076	22	32	3.835881501402323	0.11987129691882259	1	4
case_077	24	32	7.91046261294975	0.2472019566546797	1	21
case_078	28	32	4.429578042238973	0.1384243138199679	0	0
case_079	20	32	14.945307696231978	0.4670408655072493	1	14
case_080	13	32	11.038300704083142	0.3449468970025982	1	11
case_081	13	32	22.704616663632656	0.7095192707385205	0	0
